atm_id,condition
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_1,Working
ATM_2,Working
ATM_2,Working
ATM_2,Working
ATM_2,Working
ATM_2,Working
ATM_2,Working
ATM_2,Working
